"parameter","estimate","se","rse","file"
"TH_2",1.32,0.252,19.0909090909091,"NM_0_0923.lst"
"TH_3",6.84,2.51,36.6959064327485,"NM_0_0923.lst"
"TH_4",26.7,1.15,4.30711610486891,"NM_0_0923.lst"
"TH_5",4.27,2.17,50.8196721311475,"NM_0_0923.lst"
"TH_1",2.69,0.205,7.62081784386617,"NM_0_0924.lst"
"TH_2",1.34,0.267,19.9253731343284,"NM_0_0924.lst"
"TH_3",2.82,0.795,28.1914893617021,"NM_0_0924.lst"
"TH_4",27.6,1.48,5.36231884057971,"NM_0_0924.lst"
"TH_5",4.97,1.22,24.5472837022133,"NM_0_0924.lst"
"TH_1",2.51,16,637.450199203187,"NM_0_0925.lst"
"TH_2",1.3,8.78,675.384615384615,"NM_0_0925.lst"
"TH_3",26.3,122,463.878326996198,"NM_0_0925.lst"
"TH_4",4.71,34,721.868365180467,"NM_0_0925.lst"
"TH_5",6.99,68.7,982.832618025751,"NM_0_0925.lst"
"TH_6",0.125,0.806,644.8,"NM_0_0925.lst"
"TH_7",6110000,2.56e+08,4189.852700491,"NM_0_0925.lst"
"TH_1",2.09,213,10191.3875598086,"NM_0_0926.lst"
"TH_2",1.31,449,34274.8091603053,"NM_0_0926.lst"
"TH_3",26.6,1400,5263.15789473684,"NM_0_0926.lst"
"TH_4",4.33,2950,68129.3302540416,"NM_0_0926.lst"
"TH_5",6.84,3450,50438.5964912281,"NM_0_0926.lst"
"TH_6",0.591,149,25211.5059221658,"NM_0_0926.lst"
"TH_7",667000,1.01e+10,1514242.87856072,"NM_0_0926.lst"
"TH_1",2.47,1.91,77.3279352226721,"NM_0_0927.lst"
"TH_2",1.31,0.702,53.587786259542,"NM_0_0927.lst"
"TH_3",26.6,20.6,77.4436090225564,"NM_0_0927.lst"
"TH_4",4.39,41.5,945.330296127563,"NM_0_0927.lst"
"TH_5",6.89,0.655,9.50653120464441,"NM_0_0927.lst"
"TH_6",0.215,3.33,1548.83720930233,"NM_0_0927.lst"
"TH_7",575000,93900000,16330.4347826087,"NM_0_0927.lst"
"TH_1",2.64,0.2,7.57575757575758,"NM_0_0931.lst"
"TH_2",1.29,0.239,18.5271317829457,"NM_0_0931.lst"
"TH_3",3.45,1.16,33.6231884057971,"NM_0_0931.lst"
"TH_4",26.9,2.15,7.99256505576208,"NM_0_0931.lst"
"TH_5",6.03,1.58,26.2023217247098,"NM_0_0931.lst"
"TH_1",2.69,0.217,8.06691449814126,"NM_0_0932.lst"
"TH_2",1.28,0.242,18.90625,"NM_0_0932.lst"
"TH_3",3.45,1.19,34.4927536231884,"NM_0_0932.lst"
"TH_4",26.9,2.18,8.10408921933086,"NM_0_0932.lst"
"TH_5",6.03,1.64,27.1973466003317,"NM_0_0932.lst"
"TH_1",2.68,0.207,7.72388059701492,"NM_0_0933.lst"
"TH_2",1.28,0.241,18.828125,"NM_0_0933.lst"
"TH_3",3.45,1.17,33.9130434782609,"NM_0_0933.lst"
"TH_4",26.9,2.16,8.02973977695167,"NM_0_0933.lst"
"TH_5",6.02,1.6,26.578073089701,"NM_0_0933.lst"
"TH_1",2.61,1.36,52.1072796934866,"NM_0_0934.lst"
"TH_2",1.27,5.67,446.456692913386,"NM_0_0934.lst"
"TH_3",26.7,221,827.715355805243,"NM_0_0934.lst"
"TH_4",6.15,35,569.105691056911,"NM_0_0934.lst"
"TH_5",3.59,1.37,38.1615598885794,"NM_0_0934.lst"
"TH_6",0.0266,0.0162,60.9022556390977,"NM_0_0934.lst"
"TH_7",61200000,1.25e+09,2042.48366013072,"NM_0_0934.lst"
"TH_1",2.24,0.271,12.0982142857143,"NM_0_0935.lst"
"TH_2",1.28,2.21,172.65625,"NM_0_0935.lst"
"TH_3",26.9,5.93,22.0446096654275,"NM_0_0935.lst"
"TH_4",6.03,4.84,80.2653399668325,"NM_0_0935.lst"
"TH_5",3.46,1.05,30.3468208092486,"NM_0_0935.lst"
"TH_6",0.427,0.419,98.1264637002342,"NM_0_0935.lst"
"TH_7",3260000,94100000,2886.50306748466,"NM_0_0935.lst"
"TH_1",2.61,6.4,245.210727969349,"NM_0_0936.lst"
"TH_2",1.28,14.6,1140.625,"NM_0_0936.lst"
"TH_3",26.9,91.3,339.405204460967,"NM_0_0936.lst"
"TH_4",6.02,38.7,642.857142857143,"NM_0_0936.lst"
"TH_5",3.45,87.9,2547.82608695652,"NM_0_0936.lst"
"TH_6",0.0604,5.61,9288.07947019867,"NM_0_0936.lst"
"TH_7",83700,2080000,2485.06571087216,"NM_0_0936.lst"
"TH_1",30.5,2.9,9.50819672131148,"NM_0_099.lst"
"TH_2",6.78,2.31,34.070796460177,"NM_0_099.lst"
"TH_3",24.3,2.26,9.30041152263374,"NM_0_099.lst"
"TH_4",255,32.8,12.8627450980392,"NM_0_099.lst"
"TH_5",487,343,70.4312114989733,"NM_0_099.lst"
"TH_1",4.38,0.44,10.0456621004566,"NM_0_099_1070.lst"
"TH_2",2.41e+08,1.43e+09,593.360995850622,"NM_0_099_1070.lst"
"TH_3",16.2,3.29,20.3086419753086,"NM_0_099_1070.lst"
"TH_4",41.6,29.3,70.4326923076923,"NM_0_099_1070.lst"
"TH_5",15.8,17.2,108.860759493671,"NM_0_099_1070.lst"
"TH_1",0.02,0,0,"NM_0_099_1231.lst"
"TH_2",7.69e+62,0,0,"NM_0_099_1231.lst"
"TH_3",4.5,0.387,8.6,"NM_0_099_1231.lst"
"TH_4",40.5,5.59,13.8024691358025,"NM_0_099_1231.lst"
"TH_5",1110,296,26.6666666666667,"NM_0_099_1231.lst"
"TH_1",4.38,0.439,10.0228310502283,"NM_0_099_1392.lst"
"TH_2",56100000,1.05e+08,187.16577540107,"NM_0_099_1392.lst"
"TH_3",16.2,2.93,18.0864197530864,"NM_0_099_1392.lst"
"TH_4",42.3,30.7,72.5768321513002,"NM_0_099_1392.lst"
"TH_5",15.2,18.8,123.684210526316,"NM_0_099_1392.lst"
"TH_1",4.86,0.459,9.44444444444444,"NM_0_099_144.lst"
"TH_2",0.705,0.0813,11.531914893617,"NM_0_099_144.lst"
"TH_3",236,322,136.440677966102,"NM_0_099_144.lst"
"TH_4",36.4,44.2,121.428571428571,"NM_0_099_144.lst"
"TH_5",22.1,43,194.570135746606,"NM_0_099_144.lst"
"TH_1",0.02,0,0,"NM_0_099_1553.lst"
"TH_2",2.45e+36,0,0,"NM_0_099_1553.lst"
"TH_3",4.52,0.286,6.32743362831858,"NM_0_099_1553.lst"
"TH_4",34.4,6.02,17.5,"NM_0_099_1553.lst"
"TH_5",926,122,13.1749460043197,"NM_0_099_1553.lst"
"TH_1",0.02,8.17e-05,0.4085,"NM_0_099_1714.lst"
"TH_2",1.18e+19,0,0,"NM_0_099_1714.lst"
"TH_3",4.67,0.31,6.63811563169165,"NM_0_099_1714.lst"
"TH_4",35.4,6.57,18.5593220338983,"NM_0_099_1714.lst"
"TH_5",848,104,12.2641509433962,"NM_0_099_1714.lst"
"TH_1",0.02,4.65e-05,0.2325,"NM_0_099_1875.lst"
"TH_2",2.31e+41,0,0,"NM_0_099_1875.lst"
"TH_3",4.51,0.401,8.89135254988914,"NM_0_099_1875.lst"
"TH_4",41.3,5.78,13.9951573849879,"NM_0_099_1875.lst"
"TH_5",1140,302,26.4912280701754,"NM_0_099_1875.lst"
"TH_1",0.02,0.000148,0.74,"NM_0_099_2036.lst"
"TH_2",1.29e+36,0,0,"NM_0_099_2036.lst"
"TH_3",4.47,0.56,12.5279642058166,"NM_0_099_2036.lst"
"TH_4",28.7,4.73,16.4808362369338,"NM_0_099_2036.lst"
"TH_5",591,35.9,6.07445008460237,"NM_0_099_2036.lst"
"TH_1",0.02,0,0,"NM_0_099_2197.lst"
"TH_2",1.02e+36,0,0,"NM_0_099_2197.lst"
"TH_3",4.48,0.605,13.5044642857143,"NM_0_099_2197.lst"
"TH_4",27.7,5.08,18.3393501805054,"NM_0_099_2197.lst"
"TH_5",582,25.6,4.39862542955326,"NM_0_099_2197.lst"
"TH_1",0.02,2.59e-05,0.1295,"NM_0_099_2358.lst"
"TH_2",1.74e+36,0,0,"NM_0_099_2358.lst"
"TH_3",4.48,0.558,12.4553571428571,"NM_0_099_2358.lst"
"TH_4",28.7,4.72,16.4459930313589,"NM_0_099_2358.lst"
"TH_5",589,35.5,6.02716468590832,"NM_0_099_2358.lst"
"TH_1",2.99,0.451,15.0836120401338,"NM_0_099_2519.lst"
"TH_2",82900,396000,477.683956574186,"NM_0_099_2519.lst"
"TH_3",4.97,2.21,44.466800804829,"NM_0_099_2519.lst"
"TH_4",2.39,3.18,133.054393305439,"NM_0_099_2519.lst"
"TH_5",27.4,4.38,15.985401459854,"NM_0_099_2519.lst"
"TH_1",4.87,0.427,8.76796714579055,"NM_0_099_265.lst"
"TH_2",0.642,0.119,18.5358255451713,"NM_0_099_265.lst"
"TH_3",228,332,145.614035087719,"NM_0_099_265.lst"
"TH_4",18.3,11.2,61.2021857923497,"NM_0_099_265.lst"
"TH_5",39.4,12.6,31.9796954314721,"NM_0_099_265.lst"
"TH_1",3.29,0.865,26.2917933130699,"NM_0_099_2680.lst"
"TH_2",1.04e+08,7.78e+08,748.076923076923,"NM_0_099_2680.lst"
"TH_3",6.72,5.86,87.2023809523809,"NM_0_099_2680.lst"
"TH_4",7.45,8.97,120.402684563758,"NM_0_099_2680.lst"
"TH_5",31.1,12.8,41.1575562700965,"NM_0_099_2680.lst"
"TH_1",0.02,0,0,"NM_0_099_2841.lst"
"TH_2",2.63e+35,0,0,"NM_0_099_2841.lst"
"TH_3",4.45,0.593,13.3258426966292,"NM_0_099_2841.lst"
"TH_4",27.8,4.66,16.7625899280576,"NM_0_099_2841.lst"
"TH_5",579,28.1,4.85319516407599,"NM_0_099_2841.lst"
"TH_1",2.75,1.67,60.7272727272727,"NM_0_099_3002.lst"
"TH_2",1.07e+55,0,0,"NM_0_099_3002.lst"
"TH_3",1.77,1.51,85.3107344632768,"NM_0_099_3002.lst"
"TH_4",30.8,6.24,20.2597402597403,"NM_0_099_3002.lst"
"TH_5",74.1,180,242.914979757085,"NM_0_099_3002.lst"
"TH_1",4.21,0.418,9.92874109263658,"NM_0_099_3163.lst"
"TH_2",1.89e+09,5.94e+09,314.285714285714,"NM_0_099_3163.lst"
"TH_3",27.8,0.373,1.34172661870504,"NM_0_099_3163.lst"
"TH_4",53.2,7.65,14.3796992481203,"NM_0_099_3163.lst"
"TH_5",0.01,0,0,"NM_0_099_3163.lst"
"TH_1",2.75,1.67,60.7272727272727,"NM_0_099_3324.lst"
"TH_2",1.07e+55,0,0,"NM_0_099_3324.lst"
"TH_3",1.77,1.51,85.3107344632768,"NM_0_099_3324.lst"
"TH_4",30.8,6.24,20.2597402597403,"NM_0_099_3324.lst"
"TH_5",74.1,180,242.914979757085,"NM_0_099_3324.lst"
"TH_1",3.44,0.725,21.0755813953488,"NM_0_099_3485.lst"
"TH_2",7990000,28300000,354.192740926158,"NM_0_099_3485.lst"
"TH_3",2.95,0.817,27.6949152542373,"NM_0_099_3485.lst"
"TH_4",19.2,10.8,56.25,"NM_0_099_3485.lst"
"TH_5",18.3,9.44,51.5846994535519,"NM_0_099_3485.lst"
"TH_1",3.78,0.473,12.5132275132275,"NM_0_099_3646.lst"
"TH_2",1.37,1.69,123.357664233577,"NM_0_099_3646.lst"
"TH_3",7.07,5.16,72.984441301273,"NM_0_099_3646.lst"
"TH_4",8.78,14.2,161.731207289294,"NM_0_099_3646.lst"
"TH_5",22.9,13.5,58.9519650655022,"NM_0_099_3646.lst"
"TH_1",3.41,0.562,16.4809384164223,"NM_0_099_3807.lst"
"TH_2",6.94e+08,7.52e+10,10835.734870317,"NM_0_099_3807.lst"
"TH_3",2.72,0.97,35.6617647058823,"NM_0_099_3807.lst"
"TH_4",19.8,8.73,44.0909090909091,"NM_0_099_3807.lst"
"TH_5",16.1,6.7,41.6149068322981,"NM_0_099_3807.lst"
"TH_1",5.12,0.349,6.81640625,"NM_0_099_3968.lst"
"TH_2",1.01,0.135,13.3663366336634,"NM_0_099_3968.lst"
"TH_3",238,653,274.36974789916,"NM_0_099_3968.lst"
"TH_4",52.6,36.6,69.5817490494297,"NM_0_099_3968.lst"
"TH_5",18.4,31.6,171.739130434783,"NM_0_099_3968.lst"
"TH_1",0.02,0,0,"NM_0_099_4129.lst"
"TH_2",0.519,0.098,18.8824662813102,"NM_0_099_4129.lst"
"TH_3",5.98,0.557,9.31438127090301,"NM_0_099_4129.lst"
"TH_4",43.7,7.39,16.9107551487414,"NM_0_099_4129.lst"
"TH_5",767,123,16.0365058670143,"NM_0_099_4129.lst"
"TH_1",3.87,0.376,9.71576227390181,"NM_0_099_426.lst"
"TH_2",0.333,0.1,30.03003003003,"NM_0_099_426.lst"
"TH_3",1.69,0.285,16.8639053254438,"NM_0_099_426.lst"
"TH_4",16.6,32.7,196.987951807229,"NM_0_099_426.lst"
"TH_5",38.4,18.6,48.4375,"NM_0_099_426.lst"
"TH_1",5.11,0.352,6.88845401174168,"NM_0_099_4290.lst"
"TH_2",1.01,0.128,12.6732673267327,"NM_0_099_4290.lst"
"TH_3",237,728,307.172995780591,"NM_0_099_4290.lst"
"TH_4",51.8,36.5,70.4633204633205,"NM_0_099_4290.lst"
"TH_5",19,31.7,166.842105263158,"NM_0_099_4290.lst"
"TH_1",4.72,0.831,17.6059322033898,"NM_0_099_4451.lst"
"TH_2",0.605,0.0946,15.6363636363636,"NM_0_099_4451.lst"
"TH_3",1.48,0.312,21.0810810810811,"NM_0_099_4451.lst"
"TH_4",50,7.19,14.38,"NM_0_099_4451.lst"
"TH_5",22.3,39.4,176.681614349776,"NM_0_099_4451.lst"
"TH_1",5.18,0.386,7.45173745173745,"NM_0_099_4612.lst"
"TH_2",0.949,0.13,13.6986301369863,"NM_0_099_4612.lst"
"TH_3",0.872,1.8,206.422018348624,"NM_0_099_4612.lst"
"TH_4",66.1,6.48,9.80332829046899,"NM_0_099_4612.lst"
"TH_5",0.01,0,0,"NM_0_099_4612.lst"
"TH_1",0.682,4.96,727.272727272727,"NM_0_099_4773.lst"
"TH_2",0.578,0.125,21.6262975778547,"NM_0_099_4773.lst"
"TH_3",5.19,5.16,99.4219653179191,"NM_0_099_4773.lst"
"TH_4",47.4,7.68,16.2025316455696,"NM_0_099_4773.lst"
"TH_5",655,1200,183.206106870229,"NM_0_099_4773.lst"
"TH_1",4.8,0.412,8.58333333333333,"NM_0_099_587.lst"
"TH_2",0.607,0.11,18.1219110378913,"NM_0_099_587.lst"
"TH_3",145,238,164.137931034483,"NM_0_099_587.lst"
"TH_4",13.4,8.35,62.3134328358209,"NM_0_099_587.lst"
"TH_5",42.2,9.15,21.6824644549763,"NM_0_099_587.lst"
"TH_1",3.09,0.891,28.8349514563107,"NM_0_099_748.lst"
"TH_2",0.397,0.0827,20.831234256927,"NM_0_099_748.lst"
"TH_3",2.07,0.922,44.5410628019324,"NM_0_099_748.lst"
"TH_4",25.4,10.7,42.1259842519685,"NM_0_099_748.lst"
"TH_5",102,110,107.843137254902,"NM_0_099_748.lst"
"TH_1",4.88,0.437,8.95491803278689,"NM_0_099_909.lst"
"TH_2",0.667,0.114,17.0914542728636,"NM_0_099_909.lst"
"TH_3",491,1780,362.525458248472,"NM_0_099_909.lst"
"TH_4",26.1,20.6,78.9272030651341,"NM_0_099_909.lst"
"TH_5",32.2,21,65.2173913043478,"NM_0_099_909.lst"
"TH_1",30.5,2.64,8.65573770491803,"NM_0_100.lst"
"TH_2",6.78,2.32,34.2182890855457,"NM_0_100.lst"
"TH_3",24.3,2.1,8.64197530864197,"NM_0_100.lst"
"TH_4",255,32,12.5490196078431,"NM_0_100.lst"
"TH_5",486,334,68.7242798353909,"NM_0_100.lst"
"TH_1",4.43,0.753,16.9977426636569,"NM_0_100_1071.lst"
"TH_2",0.0805,0.545,677.018633540373,"NM_0_100_1071.lst"
"TH_3",5170000,2.43e+08,4700.19342359768,"NM_0_100_1071.lst"
"TH_4",12.4,58.3,470.161290322581,"NM_0_100_1071.lst"
"TH_5",48.2,100,207.46887966805,"NM_0_100_1071.lst"
"TH_6",10.8,75.4,698.148148148148,"NM_0_100_1071.lst"
"TH_1",0.02,0,0,"NM_0_100_1232.lst"
"TH_2",-13.9,2.68,19.2805755395683,"NM_0_100_1232.lst"
"TH_3",1.15e+38,0,0,"NM_0_100_1232.lst"
"TH_4",4.12,0.355,8.61650485436893,"NM_0_100_1232.lst"
"TH_5",31.8,6.04,18.9937106918239,"NM_0_100_1232.lst"
"TH_6",843,87.3,10.355871886121,"NM_0_100_1232.lst"
"TH_1",4.43,0.705,15.9142212189616,"NM_0_100_1393.lst"
"TH_2",0.0794,0.517,651.133501259446,"NM_0_100_1393.lst"
"TH_3",8140000,6290000,77.2727272727273,"NM_0_100_1393.lst"
"TH_4",12,54.9,457.5,"NM_0_100_1393.lst"
"TH_5",49.2,92.6,188.211382113821,"NM_0_100_1393.lst"
"TH_6",9.88,70.1,709.514170040486,"NM_0_100_1393.lst"
"TH_1",4.87,0.506,10.3901437371663,"NM_0_100_145.lst"
"TH_2",0.0656,0.434,661.585365853658,"NM_0_100_145.lst"
"TH_3",0.703,0.0906,12.8876244665718,"NM_0_100_145.lst"
"TH_4",330,964,292.121212121212,"NM_0_100_145.lst"
"TH_5",28.6,54,188.811188811189,"NM_0_100_145.lst"
"TH_6",29.7,54.7,184.175084175084,"NM_0_100_145.lst"
"TH_1",0.02,0,0,"NM_0_100_1554.lst"
"TH_2",-13.4,3.15,23.5074626865672,"NM_0_100_1554.lst"
"TH_3",1.25e+38,0,0,"NM_0_100_1554.lst"
"TH_4",4.23,0.344,8.13238770685579,"NM_0_100_1554.lst"
"TH_5",33.2,6.11,18.4036144578313,"NM_0_100_1554.lst"
"TH_6",899,80.6,8.96551724137931,"NM_0_100_1554.lst"
"TH_1",4.68,0.405,8.65384615384616,"NM_0_100_1715.lst"
"TH_2",0.303,0.323,106.600660066007,"NM_0_100_1715.lst"
"TH_3",323000,306000,94.7368421052632,"NM_0_100_1715.lst"
"TH_4",0.25,0,0,"NM_0_100_1715.lst"
"TH_5",63.2,8.62,13.6392405063291,"NM_0_100_1715.lst"
"TH_6",0.01,0,0,"NM_0_100_1715.lst"
"TH_1",0.02,0,0,"NM_0_100_1876.lst"
"TH_2",-13.4,3.15,23.5074626865672,"NM_0_100_1876.lst"
"TH_3",2.72e+34,0,0,"NM_0_100_1876.lst"
"TH_4",4.15,0.37,8.91566265060241,"NM_0_100_1876.lst"
"TH_5",32,5.71,17.84375,"NM_0_100_1876.lst"
"TH_6",856,79.7,9.3107476635514,"NM_0_100_1876.lst"
"TH_1",0.0375,0.0836,222.933333333333,"NM_0_100_2037.lst"
"TH_2",-9.08,5.3,58.3700440528634,"NM_0_100_2037.lst"
"TH_3",1.01e+37,0,0,"NM_0_100_2037.lst"
"TH_4",4.42,0.579,13.0995475113122,"NM_0_100_2037.lst"
"TH_5",30,5.21,17.3666666666667,"NM_0_100_2037.lst"
"TH_6",569,56.9,10,"NM_0_100_2037.lst"
"TH_1",0.02,0,0,"NM_0_100_2198.lst"
"TH_2",-9.76,7.5,76.844262295082,"NM_0_100_2198.lst"
"TH_3",8.93e+49,5.41e+55,60582306.8309071,"NM_0_100_2198.lst"
"TH_4",4.47,0.57,12.751677852349,"NM_0_100_2198.lst"
"TH_5",28.6,5.77,20.1748251748252,"NM_0_100_2198.lst"
"TH_6",570,47.6,8.35087719298246,"NM_0_100_2198.lst"
"TH_1",0.0366,0.0792,216.393442622951,"NM_0_100_2359.lst"
"TH_2",-9.25,5.15,55.6756756756757,"NM_0_100_2359.lst"
"TH_3",5.9e+48,0,0,"NM_0_100_2359.lst"
"TH_4",4.43,0.574,12.9571106094808,"NM_0_100_2359.lst"
"TH_5",30.1,5.18,17.2093023255814,"NM_0_100_2359.lst"
"TH_6",565,56.8,10.0530973451327,"NM_0_100_2359.lst"
"TH_1",0.02,0,0,"NM_0_100_2520.lst"
"TH_2",-13.6,3.65,26.8382352941176,"NM_0_100_2520.lst"
"TH_3",1.89e+44,0,0,"NM_0_100_2520.lst"
"TH_4",4.49,0.784,17.4610244988864,"NM_0_100_2520.lst"
"TH_5",36.3,7.34,20.2203856749311,"NM_0_100_2520.lst"
"TH_6",616,86.6,14.0584415584416,"NM_0_100_2520.lst"
"TH_1",4.88,0.461,9.44672131147541,"NM_0_100_266.lst"
"TH_2",0.0654,0.348,532.110091743119,"NM_0_100_266.lst"
"TH_3",0.646,0.14,21.671826625387,"NM_0_100_266.lst"
"TH_4",264,515,195.075757575758,"NM_0_100_266.lst"
"TH_5",15.3,14.5,94.7712418300653,"NM_0_100_266.lst"
"TH_6",42.3,18.2,43.0260047281324,"NM_0_100_266.lst"
"TH_1",3.44,0.534,15.5232558139535,"NM_0_100_2681.lst"
"TH_2",-0.179,0.661,369.27374301676,"NM_0_100_2681.lst"
"TH_3",20900000,8.83e+08,4224.88038277512,"NM_0_100_2681.lst"
"TH_4",7.66,3.47,45.3002610966057,"NM_0_100_2681.lst"
"TH_5",11,9.72,88.3636363636364,"NM_0_100_2681.lst"
"TH_6",30.4,10.8,35.5263157894737,"NM_0_100_2681.lst"
"TH_1",0.02,0,0,"NM_0_100_2842.lst"
"TH_2",-10.3,1.88,18.252427184466,"NM_0_100_2842.lst"
"TH_3",2.56e+32,1.18e+39,460937500,"NM_0_100_2842.lst"
"TH_4",4.43,0.555,12.5282167042889,"NM_0_100_2842.lst"
"TH_5",28.8,4.87,16.9097222222222,"NM_0_100_2842.lst"
"TH_6",563,1.6e-135,2.84191829484902e-136,"NM_0_100_2842.lst"
"TH_1",4.22,0.415,9.83412322274881,"NM_0_100_3003.lst"
"TH_2",-0.137,0.395,288.321167883212,"NM_0_100_3003.lst"
"TH_3",1.87e+08,1.15e+09,614.973262032086,"NM_0_100_3003.lst"
"TH_4",2.98,25.9,869.127516778523,"NM_0_100_3003.lst"
"TH_5",57.5,7.25,12.6086956521739,"NM_0_100_3003.lst"
"TH_6",0.01,0,0,"NM_0_100_3003.lst"
"TH_1",3.38,0.507,15,"NM_0_100_3164.lst"
"TH_2",0.333,0.895,268.768768768769,"NM_0_100_3164.lst"
"TH_3",78200000,2.23e+09,2851.66240409207,"NM_0_100_3164.lst"
"TH_4",3.4,1.23,36.1764705882353,"NM_0_100_3164.lst"
"TH_5",16.2,18.5,114.197530864198,"NM_0_100_3164.lst"
"TH_6",16.5,2.5,15.1515151515152,"NM_0_100_3164.lst"
"TH_1",4.22,0.415,9.83412322274881,"NM_0_100_3325.lst"
"TH_2",-0.137,0.395,288.321167883212,"NM_0_100_3325.lst"
"TH_3",1.87e+08,1.15e+09,614.973262032086,"NM_0_100_3325.lst"
"TH_4",2.98,25.9,869.127516778523,"NM_0_100_3325.lst"
"TH_5",57.5,7.25,12.6086956521739,"NM_0_100_3325.lst"
"TH_6",0.01,0,0,"NM_0_100_3325.lst"
"TH_1",3.42,0.778,22.7485380116959,"NM_0_100_3486.lst"
"TH_2",0.339,1.59,469.026548672566,"NM_0_100_3486.lst"
"TH_3",964000,39600000,4107.88381742739,"NM_0_100_3486.lst"
"TH_4",3.43,2.54,74.0524781341108,"NM_0_100_3486.lst"
"TH_5",16.6,31.9,192.168674698795,"NM_0_100_3486.lst"
"TH_6",17.4,3.31,19.0229885057471,"NM_0_100_3486.lst"
"TH_1",3.72,0.588,15.8064516129032,"NM_0_100_3647.lst"
"TH_2",0.489,1.13,231.083844580777,"NM_0_100_3647.lst"
"TH_3",1.06,0.514,48.4905660377358,"NM_0_100_3647.lst"
"TH_4",6.65,9.21,138.496240601504,"NM_0_100_3647.lst"
"TH_5",5.54,6.65,120.036101083032,"NM_0_100_3647.lst"
"TH_6",23.9,15.1,63.1799163179916,"NM_0_100_3647.lst"
"TH_1",2.81,5.33,189.679715302491,"NM_0_100_3808.lst"
"TH_2",-0.0582,0.515,884.879725085911,"NM_0_100_3808.lst"
"TH_3",15600000,5.85e+08,3750,"NM_0_100_3808.lst"
"TH_4",1.58,4.5,284.810126582278,"NM_0_100_3808.lst"
"TH_5",29.8,11.2,37.5838926174497,"NM_0_100_3808.lst"
"TH_6",66.1,592,895.612708018154,"NM_0_100_3808.lst"
"TH_1",0.0201,0.0207,102.985074626866,"NM_0_100_3969.lst"
"TH_2",-10.2,1.27,12.4509803921569,"NM_0_100_3969.lst"
"TH_3",0.569,0.101,17.7504393673111,"NM_0_100_3969.lst"
"TH_4",5.74,0.564,9.82578397212543,"NM_0_100_3969.lst"
"TH_5",47.1,7.05,14.968152866242,"NM_0_100_3969.lst"
"TH_6",843,176,20.8778173190985,"NM_0_100_3969.lst"
"TH_1",4.74,0.288,6.07594936708861,"NM_0_100_4130.lst"
"TH_2",-0.258,0.252,97.6744186046512,"NM_0_100_4130.lst"
"TH_3",1.35e+08,2.67e+09,1977.77777777778,"NM_0_100_4130.lst"
"TH_4",61.2,32.2,52.6143790849673,"NM_0_100_4130.lst"
"TH_5",26.6,13.5,50.7518796992481,"NM_0_100_4130.lst"
"TH_6",37,6.91,18.6756756756757,"NM_0_100_4130.lst"
"TH_1",3.87,0.314,8.11369509043928,"NM_0_100_427.lst"
"TH_2",-0.267,0.263,98.501872659176,"NM_0_100_427.lst"
"TH_3",0.356,0.0523,14.6910112359551,"NM_0_100_427.lst"
"TH_4",1.59,0.339,21.3207547169811,"NM_0_100_427.lst"
"TH_5",16.3,12.5,76.6871165644172,"NM_0_100_427.lst"
"TH_6",34.8,11.1,31.8965517241379,"NM_0_100_427.lst"
"TH_1",0.02,0,0,"NM_0_100_4291.lst"
"TH_2",-10.2,0.91,8.92156862745098,"NM_0_100_4291.lst"
"TH_3",0.574,0.1,17.4216027874564,"NM_0_100_4291.lst"
"TH_4",5.71,0.527,9.22942206654991,"NM_0_100_4291.lst"
"TH_5",47.3,6.95,14.6934460887949,"NM_0_100_4291.lst"
"TH_6",853,178,20.8675263774912,"NM_0_100_4291.lst"
"TH_1",4.78,0.385,8.05439330543933,"NM_0_100_4452.lst"
"TH_2",-0.362,0.335,92.5414364640884,"NM_0_100_4452.lst"
"TH_3",0.606,0.0758,12.5082508250825,"NM_0_100_4452.lst"
"TH_4",1.47,0.23,15.6462585034014,"NM_0_100_4452.lst"
"TH_5",49.4,7.82,15.82995951417,"NM_0_100_4452.lst"
"TH_6",18.1,10.6,58.5635359116022,"NM_0_100_4452.lst"
"TH_1",5.17,0.398,7.69825918762089,"NM_0_100_4613.lst"
"TH_2",-0.107,0.385,359.81308411215,"NM_0_100_4613.lst"
"TH_3",0.95,0.118,12.4210526315789,"NM_0_100_4613.lst"
"TH_4",0.25,0,0,"NM_0_100_4613.lst"
"TH_5",66.1,6.45,9.75794251134645,"NM_0_100_4613.lst"
"TH_6",0.01,0,0,"NM_0_100_4613.lst"
"TH_1",5.06,0.353,6.97628458498024,"NM_0_100_4774.lst"
"TH_2",-0.233,0.317,136.051502145923,"NM_0_100_4774.lst"
"TH_3",1.01,0.133,13.1683168316832,"NM_0_100_4774.lst"
"TH_4",228,446,195.614035087719,"NM_0_100_4774.lst"
"TH_5",48,39.7,82.7083333333333,"NM_0_100_4774.lst"
"TH_6",22.1,34,153.846153846154,"NM_0_100_4774.lst"
"TH_1",4.81,0.44,9.14760914760915,"NM_0_100_588.lst"
"TH_2",0.116,0.316,272.413793103448,"NM_0_100_588.lst"
"TH_3",0.613,0.134,21.8597063621533,"NM_0_100_588.lst"
"TH_4",175,356,203.428571428571,"NM_0_100_588.lst"
"TH_5",10,8.87,88.7,"NM_0_100_588.lst"
"TH_6",45.4,12.4,27.3127753303965,"NM_0_100_588.lst"
"TH_1",4.76,0.474,9.95798319327731,"NM_0_100_749.lst"
"TH_2",0.151,0.305,201.986754966887,"NM_0_100_749.lst"
